reference,created_on,customer,payment_provider,state,asset,crypto_quantity,transaction_currency,transaction_amount,tx_hash,wallet_address,journal_moves,journal_line_count,review_status
S00011-1,2026-05-10 14:28:17.204137,"TEST, Eng. Bahey Wada",Crypto Payment,done,ETHEREUM,0.02,ETHEREUM,0.02,0x9eeb9f084cd7e95571b181dcdccef0aca4da6e763034ad1b7c6a1d472e40faf4,0xba929e4164225713a1930b0279d1d53dc47e4a79,PBNK1/2026/00007,2,ready_for_review
S00016,2026-05-10 19:27:41.220876,"TEST, Eng. Bahey Wada",Crypto Payment,done,ETHEREUM,0.02,ETHEREUM,0.02,0xee9e36e9da94414ede2d0de94726a068296a6a85d10ed01c97183e2d398b9258,0x0532f72dd434fe7f943bb208ac1c5057d2d3fb14,PBNK1/2026/00008,2,ready_for_review
S00017-1,2026-05-10 19:41:49.071864,"TEST, Eng. Bahey Wada",Crypto Payment,done,ETHEREUM,0.02,ETHEREUM,0.02,0x1226912aacd481e28dd35d239b69bcc198f399ba55cb6332e83466e09b82c9fc,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,PBNK1/2026/00009,2,ready_for_review
S00018,2026-05-10 19:49:51.191958,"TEST, Eng. Bahey Wada",Crypto Payment,done,ETHEREUM,0.02,ETHEREUM,0.02,0x972f989aab7da55436b4c1e13adb9f6ef86e08d5337c10dffc487208cabbe279,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,PBNK1/2026/00010,2,ready_for_review
S00019,2026-05-10 19:52:53.149840,"TEST, Eng. Bahey Wada",Crypto Payment,done,ETHEREUM,0.02,ETHEREUM,0.02,0xc93bae40e818331f6fa95da339bea86e00ad08373fd1bb5bb8d6ad63e302c934,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,PBNK1/2026/00011,2,ready_for_review
S00020-2,2026-05-10 20:21:07.399866,"TEST, Eng. Bahey Wada",Crypto Payment,done,ETHEREUM,0.02,ETHEREUM,0.02,0x8b4cd1e791acc642e7f755923c896447bb72c4816b719b004d18cd031ec74425,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,PBNK1/2026/00013,2,ready_for_review
S00021,2026-05-10 20:25:02.130862,"TEST, Eng. Bahey Wada",Crypto Payment,done,ETHEREUM,0.01,ETHEREUM,0.01,0xf65602201d56d6eaafaff57fe73e154b51a4f5861b251ff35b8abebcba6980e9,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,PBNK1/2026/00012,2,ready_for_review
261-1-000006-1,2026-05-11 11:13:08.489229,Public user,Crypto Payment,done,ETHEREUM,0.0106,ETHEREUM,0.0106,0xf5e9f0a9d5d156b6e62e8ea8ce95fc6815548f2584279da895eef3e8cb9e71ba,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,PBNK1/2026/00014,2,ready_for_review
261-1-000007-2,2026-05-11 11:25:00.012223,Public user,Crypto Payment,done,ETHEREUM,0.0106,ETHEREUM,0.0106,0x1f45365ca0a9afdd6c22399b8a892bc1d3e01c01a37081e81e9c2ab135c4e606,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,PBNK1/2026/00015,2,ready_for_review
261-1-000008-12,2026-05-11 18:06:15.677394,Public user,Crypto Payment,done,ETHEREUM,0.0106,ETHEREUM,0.0106,0x0e42076e670dfee094dc050a02acf9378947df2147d1568ea9dcbbdc570bcfe5,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,PBNK1/2026/00016,2,ready_for_review
